Time(us),Frequency(kHz)
4120479,3069070
4130481,3081776
4140488,3066452
4150494,3081472
4160498,3074942
4170504,3087743
4180505,3081678
4190512,3075128
4200514,3066072
4210516,3081666
4220522,3073082
4230526,3084462
4240531,3064811
4250537,3062740
4260544,3057293
4270545,3075443
4280552,3056248
4290557,3072644
4300562,3069781
4310569,3078482
4320595,3065819
4330570,3058698
4340877,3063962
4350878,3072553
4360894,3081653
4370895,3065969
4380900,3075265
4390903,3066452
4400922,3082162
4410928,3070728
4420935,3082078
4430926,3071997
4440940,3075478
4450945,3071893
4460947,3069897
4470953,3059739
4480957,3081077
4490960,3072340
4500967,3074959
4510973,3072860
4520977,3062941
4530981,3075365
4540986,3088144
4550989,3077545
4560992,3087620
4570998,3081546
4581000,3087820
4591001,3081906
4601007,3088339
4611010,3082296
4621018,3087856
4631020,3073232
4641021,3081503
4651026,3075088
4661031,3088065
4671037,3082622
4681044,3087732
4691050,3074940
4701053,3088362
4711060,3066248
4721066,3084622
4731070,3081997
4741077,3072491
4751084,3072182
4761089,3076020
4771092,3066402
4781095,3081998
4791102,3072741
4801103,3084804
4811107,3075686
4821114,3081599
4831118,3081182
4841120,3081440
4851127,3082281
4861131,3087767
4871134,3069172
4881141,3081312
4891146,3069136
4901150,3087808
4911157,3078163
4921161,3087969
4931167,3073919
4941170,3081664
4951171,3072072
4961172,2978212
4971174,2956777
4981181,2965340
4991187,3067518
5001191,2941518
5011195,2970844
5021197,3084972
5031199,3081898
5041205,3087396
5051209,3081726
5061211,3087448
5071212,3068674
5081217,3075945
5091223,3072270
5101229,3054854
5111232,3070164
5121233,3081573
5131241,3078523
5141246,3081327
5151253,3072312
5161256,3081646
5171260,3072635
5181266,3081442
5191270,3076068
5201271,3087981
5211276,3081728
5221277,3088016
5231282,3072946
5241289,3081330
5251292,3074841
5261297,3081318
5271303,3072180
5281306,3081996
5291310,3078732
5301312,3081095
5311315,3082346
5321322,3088199
5331328,3081239
5341329,3079128
5351335,3063970
5361343,3081880
5371344,3072624
5381349,3081537
5391353,3081980
5401354,3088040
5411360,3081639
5421364,3088308
5431370,3068213
5441374,3088324
5451379,3062768
5461385,3081578
5471390,3078993
5481393,3087524
5491396,3081784
5501397,3088379
5511404,3065307
5521407,3081696
5531409,3075607
5541413,3088450
5551418,3077672
5561425,3087503
5571431,3081562
5581437,3087777
5591441,3063151
5601445,3081847
5611448,3073994
5621452,3071503
5631454,3066472
5641458,3078953
5651461,3068958
5661463,3075559
5671465,3072842
5681471,3084547
5691475,3067063
5701482,3081793
5711489,3068510
5721490,3087731
5731497,3072595
5741503,3080101
5751506,3072128
5761513,3081863
5771515,3081853
5781518,3088060
5791520,3082336
5801526,3088036
5811533,3081199
5821540,3078307
5831544,3081609
5841550,3078312
5851552,3072914
5861554,3082002
5871559,3082187
5881561,3087596
5891566,3081869
5901570,3087884
5911574,3075195
5921580,3069445
5931587,3072612
5941591,3062004
5951593,3075337
5961594,3081870
5971598,3055327
5981605,3069727
5991608,3035881
6001614,3061338
6011621,2978006
6021636,2972438
6031640,3053976
6041646,3078803
6051647,3071974
6061651,3087704
6071657,3081395
6081661,3088327
6091666,3075468
6101673,3059655
6111675,3072731
6121677,3072305
6131682,3081862
6141684,3084354
6151687,3078415
6161691,3087525
6171695,3081794
6181701,3071341
6191702,3059804
6201707,3075634
6211710,3060348
6221712,2962341
6231717,3055398
6241722,3081636
6251728,3078143
6261733,3064758
6271739,3063521
6281745,3075800
6291746,3053781
6301752,3081782
6311753,3075216
6321759,3076287
6331764,3066229
6341766,3084727
6351771,3063150
6361774,3081327
6371777,3072464
6381782,3081406
6391787,3065743
6401789,3082147
6411792,3066211
6421800,3081934
6431804,3081759
6441805,3087795
6451807,3056860
6461812,3070025
6471814,3068976
6481816,3087988
6491820,3082206
6501826,3087528
6511831,3069086
6521833,3081375
6531838,3066279
6541843,3081549
6551844,3061915
6561846,3076030
6571848,3059808
6581850,3075543
6591854,3062541
6601860,3068886
6611870,3066300
6621872,3081080
6631878,3072395
6641883,3075460
6651886,3069716
6661893,3078997
6671900,3071977
6681907,3081876
6691912,3072841
6701917,3081522
6711918,3066158
6721925,3081701
6731926,3068298
6741927,3087906
6751932,3072290
6761935,3075709
6771939,3072085
6781940,3075164
6791944,3076122
6801945,3074730
6811950,3063495
6821951,3081558
6831957,3069139
6841959,3079168
6851961,3066413
6861968,3078998
6871975,3066058
6881982,3072755
6891983,3065591
6901989,3075876
6911991,3065483
6921997,3072028
6932002,3062320
6942003,3075742
6952005,3072269
6962012,3078247
6972018,3081486
6982025,3087865
6992027,3081612
7002034,3087890
7012041,3082006
7022047,3088048
7032051,3069538
7042058,3081663
7052063,3078801
7062068,2963848
7072074,2894315
7082079,2968977
7092081,2935784
7102084,3018991
7112088,3056990
7122094,3078813
7132100,3072133
7142102,3060438
7152105,3065954
7162108,3082054
7172113,3081533
7182117,3087771
7192121,3072317
7202126,3082014
7212133,3075457
7222135,3048878
7232139,3054452
7242140,3068412
7252145,3053808
7262150,3069902
7272155,3069659
7282157,3087686
7292164,3081881
7302168,3082095
7312171,3070490
7322176,3080995
7332181,3066708
7342187,3077904
7352193,3066446
7362200,3081884
7372203,3079135
7382208,3084388
7392212,3075122
7402217,3087569
7412219,3081799
7422221,3088005
7432224,3072697
7442226,3081756
7452230,3060360
7462232,3075868
7472236,3068333
7482242,3081479
7492246,3066108
7502247,3081645
7512252,3081913
7522259,3075722
7532265,3072899
7542268,3081540
7552269,3065700
7562271,3081830
7572273,3081854
7582278,3088172
7592281,3082470
7602285,3082029
7612289,3072741
7622296,3081242
7632298,3072136
7642299,3081530
7652306,3071880
7662308,3084337
7672314,3081409
7682320,3088281
7692327,3081730
7702329,3081408
7712330,3069055
7722333,3069538
7732334,3072540
7742340,3088124
7752341,3075147
7762342,3068198
7772346,3067890
7782349,3084512
7792351,3081796
7802357,3081883
7812363,3071989
7822369,3075410
7832370,3076004
7842377,3078579
7852381,3072525
7862384,3081284
7872386,3078321
7882392,3088022
7892393,3081765
7902394,3078662
7912399,3066280
7922402,3081539
7932407,3075309
7942408,3087904
7952415,3074720
7962421,3078368
7972428,3059843
7982429,3075640
7992436,3066253
8002438,3075632
8012443,3072163
8022449,3079462
8032453,3072400
8042454,3081265
8052455,3071946
8062457,3082111
8072463,3072369
8082465,3057289
8092467,2960669
8102472,2918556
8112477,2939585
8122484,2914091
8132490,3046203
8142494,3073688
8152500,3066236
8162506,3066426
8172512,2935192
8182513,2967258
8192517,3072336
8202519,3087927
8212523,3081859
8222528,3088049
8232530,3081793
8242533,3074114
8252534,3052973
8262537,3075282
8272540,3069712
8282547,3084982
8292552,3082055
8302553,3087588
8312560,3081343
8322567,3087465
8332613,3073010
8342615,3075119
8352620,3072566
8362623,3077316
8372625,3082009
8382568,3071239
8392735,3076843
8402739,3073627
8412745,3077103
8422752,3076862
8432759,3080612
8442760,3075424
8452767,3077686
8462772,3074707
8472779,3085580
8482784,3083916
8492789,3073315
8502790,3075177
8512796,3082319
8522805,3067396
8532812,3079099
8542822,3067540
8552829,3073409
8562835,3071613
8572842,3078512
8582842,3082749
8592847,3086605
8602852,3062456
8612859,3080248
8622861,3082661
8632868,3081425
8642875,3072793
8652879,3074955
8662881,3073147
8672887,3080893
8682904,3081924
8692906,3075333
8702913,3066500
8712929,3081746
8722926,3059601
8732942,3075982
8742945,3069253
8752949,3080697
8762956,3082094
8772960,3075220
8782967,3072341
8792974,3077824
8802981,3072648
8812985,3081949
8822991,3063074
8832994,3082183
8842998,3081863
8853000,3087472
8863005,3082009
8873006,3087925
8883012,3082030
8893017,3069149
8903018,3062450
8913023,3081635
8923025,3075362
8933029,3087925
8943032,3072345
8953034,3081088
8963040,3066223
8973044,3075359
8983049,3069664
8993052,3081298
9003056,3072254
9013063,3081818
9023069,3065680
9033070,3081875
