Time(us),Frequency(kHz)
4120537,3081938
4130544,3081645
4140548,3069060
4150551,3081937
4160553,3074942
4170558,3073345
4180959,3081690
4190961,3057785
4200967,3081495
4210973,3060279
4220978,3078985
4230979,3060076
4240983,3065889
4250989,3066745
4260996,3081782
4270999,3079102
4281006,3084661
4291008,3075584
4301011,3084566
4311013,3072245
4321019,3078372
4331024,3069270
4341028,3075664
4351031,3066346
4361032,3066308
4371035,3069259
4381037,3081943
4391040,3072827
4401043,3084393
4411049,3063214
4421053,3078333
4431060,3072448
4441063,3075400
4451068,3072364
4461074,3068701
4471081,3059423
4481081,3080968
4491085,3072191
4501090,3084901
4511098,3081913
4521102,3087852
4531108,3081292
4541111,3087510
4551118,3082080
4561124,3075088
4571127,3072609
4581130,3075087
4591134,3068895
4601136,3083224
4611141,3072783
4621144,3070648
4631145,3065454
4641149,3081201
4651155,3071828
4661161,3084629
4671163,3072620
4681169,3081458
4691175,3067036
4701179,3081445
4711184,3074803
4721191,3087550
4731198,3082099
4741200,3082005
4751206,3074485
4761207,2984563
4771212,2931479
4781217,2894199
4791219,2887668
4801226,2934583
4811229,2944667
4821234,3082193
4831240,3072204
4841244,3081384
4851246,3072412
4861250,3081524
4871255,3075636
4881258,3087770
4891260,3063050
4901261,3068567
4911268,3054248
4921271,3076164
4931274,3056356
4941277,3072508
4951279,3058276
4961284,3061514
4971285,3062042
4981290,3081510
4991295,3078104
5001301,3072181
5011305,3072881
5021312,3081751
5031317,3072152
5041320,3081658
5051326,3063756
5061331,3075604
5071337,3072817
5081340,3087610
5091343,3075163
5101347,3075577
5111353,3065901
5121356,3069182
5131363,3066735
5141366,3081390
5151370,3078795
5161372,3087875
5171375,3081101
5181377,3078959
5191384,3071764
5201389,3081703
5211394,3065814
5221399,3081723
5231405,3072027
5241408,3080846
5251411,3082268
5261418,3087627
5271425,3081836
5281431,3084702
5291432,3066468
5301439,3075066
5311447,3081506
5321452,3088210
5331454,3081406
5341459,3087918
5351465,3081779
5361467,3088288
5371469,3082454
5381471,3087930
5391477,3069342
5401478,3078556
5411478,3072646
5421484,3088086
5431487,3081800
5441492,3087988
5451493,3075146
5461495,3082531
5471501,3065980
5481506,3074991
5491511,3062041
5501517,3078723
5511524,3081820
5521531,3087917
5531536,3081739
5541543,3087874
5551549,3071947
5561550,3081388
5571553,3071998
5581555,3087639
5591559,3077877
5601562,3081653
5611563,3062038
5621569,3067891
5631577,3069569
5641581,3067822
5651585,3062803
5661591,3075446
5671595,3064123
5681599,3078708
5691604,3063754
5701606,3079887
5711603,3064623
5721616,3051205
5731623,3072499
5741629,3075070
5751635,3078694
5761641,3087871
5771643,3081968
5781644,3088260
5791650,3072882
5801656,2993503
5811662,2997879
5821663,3032976
5831670,3062907
5841673,2981801
5851677,3063163
5861678,2931269
5871682,3047638
5881685,3081573
5891689,3072535
5901692,3074348
5911695,3082214
5921701,3081258
5931708,3072508
5941714,3079205
5951717,3064893
5961721,3069547
5971727,3061560
5981734,3078382
5991740,3075578
6001742,3075752
6011745,3066377
6021752,3078622
6031759,3082232
6041764,3078564
6051767,3072943
6061769,3081714
6071776,3066255
6081780,3081655
6091785,3065737
6101787,3081401
6111791,3066449
6121796,3081276
6131798,3078842
6141799,3087732
6151803,3081588
6161804,3072176
6171806,3072338
6181807,3072164
6191810,3072225
6201817,3084367
6211823,3082116
6221826,3087461
6231831,3066354
6241836,3081851
6251842,3062455
6261846,3079154
6271852,3061435
6281858,3072406
6291862,3066500
6301863,3081601
6311866,3078864
6321869,3075544
6331876,3072267
6341882,3081951
6351888,3066250
6361891,3078339
6371895,3066618
6381897,3071007
6391900,3072894
6401902,3075723
6411906,3072462
6421907,3081395
6431910,3067950
6441916,3078976
6451923,3049169
6461926,3078769
6471927,3065935
6481930,3072368
6491931,3063960
6501936,3078204
6511943,3075386
6521949,3084965
6531956,3074999
6541961,3084857
6551966,3072931
6561970,3081679
6571970,3072662
6581972,3075329
6591977,3072040
6601981,3085188
6611982,3055546
6621984,3067146
6631989,3074879
6641994,3088419
6652000,3082570
6662003,3087812
6672008,3080934
6682011,3088121
6692014,3068919
6702018,3081568
6712024,3072329
6722029,3071652
6732033,3072356
6742034,3079302
6752041,3081604
6762044,3087928
6772047,3081342
6782052,3087621
6792054,3082203
6802062,3087747
6812065,3075620
6822068,3081731
6832073,3066255
6842075,3069114
6852081,3072367
6862082,3049847
6872086,3049647
6882091,2936032
6892095,2975963
6902098,3070506
6912105,3072653
6922112,3084180
6932115,3082561
6942120,3078979
6952125,3072615
6962126,3072190
6972128,3077597
6982134,3088337
6992140,3081919
7002143,3087857
7012145,3081530
7022148,3087729
7032154,3082654
7042157,3081169
7052159,3064327
7062161,3062979
7072162,3037309
7082168,2891080
7092171,3065750
7102178,3081846
7112182,3078404
7122189,3088322
7132194,3081191
7142199,3088176
7152203,3081756
7162204,3088331
7172208,3069553
7182210,3081768
7192212,3079027
7202214,3072478
7212222,3064523
7222226,3061502
7232228,3072803
7242233,3054662
7252239,3053314
7262243,3075710
7272250,3063164
7282257,3075439
7292261,3066789
7302264,3078642
7312269,3048855
7322272,3078501
7332277,3069009
7342279,3088178
7352283,3073159
7362286,3081797
7372287,3075355
7382295,3087671
7392301,3081973
7402305,3087952
7412308,3064420
7422311,3081724
7432316,3066900
7442322,3081769
7452326,3068756
7462328,3087842
7472335,3078611
7482341,3066422
7492345,3066341
7502346,3081299
7512353,3079377
7522355,3071159
7532361,3078417
7542363,3079188
7552370,3071889
7562372,3079426
7572379,3072492
7582383,3081875
7592389,3073190
7602396,3078451
7612403,3072792
7622405,3081708
7632407,3072459
7642414,3075522
7652417,3065215
7662424,3084917
7672427,3075599
7682433,3081284
7692435,3071868
7702437,3070006
7712438,3072758
7722442,3081646
7732444,3072369
7742448,3074952
7752454,3072631
7762457,3081669
7772463,3069742
7782469,3081661
7792472,3072352
7802478,3087815
7812480,3081182
7822483,3088183
7832485,3072877
7842492,3081597
7852495,3071522
7862498,3075508
7872499,3072547
7882503,3076608
7892507,3065562
7902512,3071410
7912514,2909915
7922519,2917795
7932523,2949101
7942527,2986293
7952528,3043831
7962535,2894294
7972540,3075199
7982541,3075669
7992546,3064020
8002552,3075864
8012556,3066305
8022557,3066910
8032785,3066822
8042792,3072142
8052796,3075425
8062800,3071336
8072802,3081832
8082808,3080195
8092810,3083385
8102814,3077720
8112819,3085433
8122821,3068077
8132830,3079228
8142834,3076212
8152839,3086999
8162842,3082361
8172846,3080142
8182852,3082160
8192857,3088078
8202864,3081755
8212869,3087020
8222873,3055479
8232878,3078079
8242888,3063060
8252895,3081584
8262897,3075464
8272902,3083904
8282904,3082514
8292909,3088215
8302912,3081426
8312917,3088265
8322920,3081890
8332926,3075557
8342928,3072940
8352931,3088003
8362937,3081724
8372943,3087962
8382945,3072610
8392949,3075744
8402950,3072265
8412952,3081478
8422957,3062493
8432960,3087560
8442964,3081773
8452970,3087956
8462973,3049260
8472973,3065119
8482986,3059594
8492992,3081755
8502994,3072450
8513000,3081728
8523003,3072164
8533008,3081658
8543014,3075686
8553022,3087660
8563026,3081447
8573028,3088012
8583035,3081384
8593038,3087546
8603039,3078375
8613042,3063297
8623047,3052712
8633050,3070212
8643056,3063080
8653059,3069234
8663066,3069488
8673068,3077823
8683074,3081811
8693079,3080690
8703084,3061907
8713089,3081153
8723094,3060308
8733101,3081956
8743106,3066252
