Time(us),Frequency(kHz)
4120845,3081521
4130851,3061020
4140859,3064152
4150873,3072220
4160878,3081025
4170884,3078452
4180891,3081671
4190897,3081049
4200898,3088276
4210900,3081502
4220903,3087750
4230904,3081539
4240906,3087526
4250911,3082217
4260913,3074928
4270920,3014146
4280924,2934596
4290928,3002546
4300933,3062532
4310937,3013625
4320938,3074937
4330944,2995032
4340951,2998826
4350952,3041976
4360959,3068447
4370963,3065661
4380968,3081465
4390972,3051832
4400977,3068272
4410980,3051154
4420983,3070247
4430986,3072427
4440988,3082037
4450989,3065731
4460993,3065242
4470996,3066336
4481002,3069901
4491004,3066797
4501008,3075226
4511011,3072367
4521018,3076038
4531025,3072302
4541028,3084847
4551031,3069288
4561035,3075981
4571037,3072344
4581039,3081274
4591040,3078877
4601041,3087554
4611051,3081988
4621053,3088314
4631055,3068842
4641060,3081453
4651062,3072247
4661065,3087692
4671070,3081455
4681073,3075315
4691075,3072655
4701079,3086770
4711081,3081867
4721082,3087947
4731088,3081530
4741090,3075109
4751096,3063388
4761098,3077069
4771100,3063198
4781105,3078601
4791107,3072617
4801113,3082417
4811116,3072554
4821123,3081881
4831126,3079121
4841132,3085276
4851135,3078630
4861140,3087841
4871141,3081353
4881143,3088374
4891149,3081768
4901154,3087976
4911159,3081632
4921165,3087872
4931167,3078242
4941168,3088334
4951171,3078066
4961174,3081601
4971180,3078463
4981185,3087486
4991190,3069685
5001193,3069061
5011195,3072824
5021196,3084415
5031203,3081414
5041206,3087883
5051214,3081137
5061219,3087906
5071225,3081841
5081231,3087529
5091232,3081371
5101234,3087502
5111237,3082552
5121244,3088130
5131251,3068100
5141254,3082384
5151258,3081297
5161263,3084239
5171267,3082145
5181269,3081596
5191275,3075527
5201279,3088438
5211285,3082220
5221286,3074839
5231293,3072261
5241296,3085162
5251300,3082003
5261304,3088073
5271307,3082247
5281310,3088208
5291316,3082146
5301321,3087648
5311327,3051059
5321334,3032447
5331336,3033519
5341338,3016124
5351342,2957190
5361346,2937329
5371349,3063215
5381351,3081793
5391354,3078919
5401358,3084744
5411365,3075726
5421370,3084957
5431373,3078279
5441376,3084896
5451380,3075821
5461381,3084922
5471385,3069304
5481387,3078881
5491392,3065905
5501394,3082026
5511395,3058072
5521403,3066159
5531406,3050355
5541411,3075643
5551412,3060151
5561418,3036432
5571421,2899385
5581425,3075608
5591429,3072162
5601434,3078419
5611441,3072744
5621444,3071632
5631451,3072191
5641453,3084471
5651455,3082203
5661459,3084862
5671464,3068655
5681466,3075592
5691471,3063275
5701477,3081686
5711480,3079314
5721483,3088332
5731487,3077872
5741493,3068877
5751496,3062481
5761502,3073425
5771507,3058564
5781514,3081596
5791519,3075549
5801526,3087717
5811531,3068402
5821534,3081638
5831541,3072140
5841544,3081918
5851549,3063058
5861554,3078996
5871559,3066582
5881566,3078497
5891571,3034789
5901573,3075585
5911579,3058552
5921586,3081036
5931588,3072064
5941593,3081128
5951596,3072253
5961598,3081587
5971605,3075194
5981610,3081489
5991617,3056071
6001621,3082015
6011626,3072615
6021632,3082113
6031635,3072822
6041642,3082205
6051645,3058389
6061650,3088284
6071655,3081982
6081663,3088266
6091666,3081733
6101672,3078484
6111678,3072537
6121681,3085134
6131688,3081782
6141691,3088050
6151693,3081567
6161700,3087607
6171703,3081911
6181708,3069454
6191713,3066882
6201719,3088481
6211721,3046496
6221727,3081843
6231733,3068819
6241739,3068994
6251747,3063023
6261750,3087956
6271756,3074380
6281759,3081768
6291763,3079160
6301769,3088093
6311775,3081906
6321780,3087589
6331785,3081817
6341789,3081439
6351796,3062221
6361797,3054673
6371804,2996792
6381805,2953058
6391809,2920999
6401817,2941918
6411819,3067553
6421821,3077306
6431824,3061855
6441826,3075738
6451832,2978918
6461834,3027184
6471835,3066061
6481840,3081878
6491843,3079052
6501848,3087702
6511849,3081760
6521851,3087941
6531854,3081608
6541857,3088350
6551865,3072118
6561872,3069858
6571873,3072392
6581877,3081878
6591880,3071634
6601884,3087586
6611885,3081974
6621891,3087625
6631898,3082056
6641900,3087886
6651903,3081301
6661906,3087944
6671908,3082006
6681914,3067726
6691922,3072515
6701927,3082023
6711933,3057717
6721940,3075610
6731946,3065711
6741950,3075496
6751956,3062667
6761959,3081584
6771963,3072525
6781968,3078095
6791970,3074589
6801972,3087993
6811976,3082076
6821980,3088181
6831983,3066648
6841986,3082402
6851990,3072453
6861997,3087946
6872002,3081955
6882008,3087266
6892013,3082231
6902016,3087896
6912017,3078282
6922023,3088113
6932027,3063867
6942034,3081984
6952037,3078695
6962040,3072709
6972047,3069948
6982049,3081942
6992054,3059439
7002055,3081775
7012060,3062753
7022061,3081732
7032067,3072667
7042070,3075276
7052077,3072469
7062083,3085139
7072084,3082201
7082088,3088051
7092093,3075754
7102100,3082080
7112105,3072719
7122107,3058895
7132112,3071906
7142117,3075718
7152121,3072530
7162128,3084461
7172130,3081869
7182134,3072115
7192138,3060442
7202145,3075208
7212152,3059823
7222158,3082145
7232163,3060012
