Time(us),Frequency(kHz)
4120462,3047940
4130467,3075091
4140469,3072394
4150469,3066379
4160474,2993626
4170477,3081318
4180478,3071329
4190480,3060058
4200487,3081088
4210494,3087909
4220497,3018369
4230498,3045069
4240503,3081966
4250506,3074877
4260509,3037492
4270515,3081560
4280520,3072770
4290526,3044467
4300532,3072764
4310524,3081254
4320738,3054709
4330744,3058798
4340746,3070526
4350747,3073248
4360754,2992095
4370755,2978635
4380761,2960594
4390766,2925798
4400769,2996247
4410776,3074310
4420781,3079439
4430785,3055387
4440788,3086870
4450791,3080715
4460797,2998952
4470804,3038949
4480807,3087514
4490810,3051401
4500811,3087770
4510814,3082761
4520818,3084375
4530823,2960293
4540830,3088266
4550831,3082012
4560835,3024870
4570839,3040466
4580841,3070954
4590843,2953679
4600858,3047508
4610850,3072932
4620865,3081393
4630862,2952175
4640880,3075421
4650885,3072616
4660892,3050837
4670898,3072906
4680901,3081710
4690906,3026427
4700908,2996403
4710915,3066603
4720918,3078502
4730920,3047572
4740922,3056649
4750926,3059824
4760927,2992359
4770932,3028739
4780935,3075645
4790942,3066279
4800946,3084348
4810953,3082361
4820954,3088150
4830958,3082193
4840964,3085209
4850967,3072554
4860972,3082132
4870974,3081445
4880976,3082390
4890981,3072764
4900987,3062534
4910994,3047146
4920999,3084497
4931003,3082497
4941007,3078775
4951008,3068934
4961010,3081689
4971012,3068747
4981019,3074627
4991026,3062202
5001029,3081655
5011030,3075801
5021032,3082343
5031030,3060500
5041043,3075890
5051049,3072909
5061056,3088350
5071058,3069097
5081062,3081952
5091063,3066032
5101069,3081550
5111074,3034696
5121079,3081558
5131084,3072783
5141091,3084678
5151098,3066185
5161104,3085211
5171109,3078476
5181114,3071437
5191118,3072576
5201125,3079250
5211128,3063640
5221133,3084807
5231136,3054920
5241138,3071644
5251142,3075237
5261145,3088246
5271149,3082138
5281151,3088266
5291155,3072849
5301160,3081883
5311164,3075140
5321167,3088307
5331174,3076210
5341177,3080851
5351178,3072595
5361184,3069910
5371189,3071978
5381196,3081611
5391200,3062690
5401202,3081411
5411206,3069035
5421212,3035220
5431213,2958723
5441219,2983350
5451225,2991551
5461231,3063768
5471235,2993646
5481242,3043557
5491245,3061422
5501249,3072746
5511250,3072270
5521254,3081618
5531258,3066619
5541261,3081774
5551265,3072745
5561268,3078709
5571274,3072482
5581274,3081898
5591280,3065442
5601286,3082036
5611292,3072448
5621296,3069235
5631303,3066308
5641311,3081916
5651318,3072177
5661320,3088282
5671327,3081977
5681332,3081316
5691337,3066253
5701342,3069565
5711348,3072684
5721355,3075696
5731356,3071829
5741358,3082055
5751363,3072602
5761366,3087978
5771369,3082540
5781376,3075037
5791378,3063434
5801383,3068219
5811387,3069698
5821390,3081578
5831391,3073022
5841395,3075781
5851402,3072887
5861406,3084158
5871409,3074118
5881411,3081562
5891418,3072849
5901425,3078689
5911430,3072600
5921436,3067629
5931441,3066942
5941446,3081618
5951449,3069449
5961451,3088010
5971457,3081990
5981460,3088293
5991467,3082114
6001469,3078065
6011475,3082262
6021477,3082087
6031479,3082221
6041483,3082063
6051488,3068904
6061496,3066774
6071498,3058138
6081500,3082398
6091517,3060240
6101524,3075417
6111528,3079059
6121530,3088246
6131535,3059445
6141541,3088256
6151542,3075907
6161543,3088186
6171549,3082502
6181551,3077852
6191555,3081809
6201562,3087751
6211568,3072370
6221569,3078832
6231575,3072648
6241577,3081403
6251583,3082477
6261586,3087839
6271592,3078535
6281593,3081933
6291595,3068382
6301600,3084760
6311606,3078530
6321611,3087858
6331615,3082150
6341620,3087864
6351628,3053367
6361635,3053896
6371642,3060385
6381644,3066686
6391650,3056680
6401654,3072501
6411660,3041728
6421666,3075346
6431674,3066032
6441678,3075121
6451679,3069610
6461684,3080058
6471687,3059855
6481688,3026532
6491690,2941970
6501692,3030170
6511699,3069552
6521706,3063537
6531709,3066475
6541711,3037857
6551716,2991826
6561720,3068228
6571724,3065861
6581731,3081739
6591735,3074180
6601737,3081734
6611743,3072100
6621749,3088436
6631756,3082092
6641760,3088103
6651765,3081673
6661768,3081930
6671775,3072485
6681777,3081533
6691786,3071965
6701790,3051872
6711792,3076075
6721793,3072048
6731799,3064998
6741805,3075289
6751807,3066444
6761812,3074011
