Time(us),Frequency(kHz)
4801217,1200008
4811225,1200009
4821233,1200006
4831239,1200009
4841246,1200008
4851253,1200009
4861259,1200005
4871263,1200009
4881271,1200008
4891278,1200009
4901284,1200006
4911291,1200008
4941306,1200009
4961314,1200007
4981323,1200008
4991325,1200010
5001327,1200006
5011329,1200007
5021332,1200009
5031334,1200007
5041338,1200009
5051344,1200007
5061349,1200008
5071351,1200010
5081361,1200007
5091367,1200008
5101375,1200006
5111377,1200009
5121383,1200008
5131384,1200007
5151396,1200009
5161403,1200008
5171410,1200009
5181412,1200007
5201421,1200009
5211428,1200008
5231437,1200007
5251447,1200009
5261452,1200008
5281461,1200007
5291468,1200009
5301471,1200007
5311475,1200008
5341487,1200006
5351491,1200009
5361495,1200007
5371497,1200008
5401513,1200009
5411517,1200007
5421524,1200009
5431528,1200007
5441531,1200009
5451538,1200007
5461542,1200008
5471548,1200009
5481549,1200007
5491556,1200009
5501563,1200008
5551583,1200006
5561590,1200008
5571595,1200009
5581600,1200008
5591605,1200006
5601609,1200009
5611614,1200006
5621616,1200008
5641629,1200009
5651634,1200008
5661639,1200007
5681651,1200009
5691656,1200008
5701662,1200007
5711665,1200008
5721670,1200007
5741684,1200008
5751687,1200009
5761692,1200008
5771699,1200006
5781705,1200009
5791708,1200007
5801713,1200008
5821721,1200009
5831728,1200008
5881758,1200007
5891764,1200008
5901772,1200009
5911774,1200006
5921779,1200009
5931785,1200008
5951792,1200006
5961796,1200009
5971801,1200007
5981804,1200008
6011820,1200009
6021827,1200007
6041837,1200008
6051842,1200009
6061849,1200008
6071857,1200007
6091872,1200008
6101879,1200009
6111882,1200008
6131894,1200006
6141902,1200008
6181923,1200009
6191928,1200007
6201932,1200009
6211935,1200008
6271969,1200007
6281973,1200009
6291981,1200008
6301988,1200006
6311991,1200008
6321998,1200009
6332001,1200007
6342006,1200008
6352008,1200007
6362010,1200008
6412040,1200009
6422044,1200008
6442052,1200007
6462059,1200009
6472063,1200008
6482068,1200007
6492074,1200009
6502081,1200008
6512082,1200007
6532088,1200008
6562102,1200009
6572106,1200008
6582111,1200007
6592114,1200008
6612123,1200009
6622125,1200008
6662145,1200007
6672150,1200009
6682152,1200008
6692155,1200006
6702160,1200009
6712168,1200008
6722176,1200007
6742188,1200008
6752193,1200007
6762198,1200008
6782211,1200009
6792215,1200008
6812225,1200007
6822228,1200009
6832230,1200007
6842238,1200009
6852245,1200008
6862252,1200006
6872260,1200008
6912283,1200009
6922289,1200008
6932294,1200007
6942298,1200009
6952302,1200008
6972314,1200007
6982319,1200008
6992322,1200009
7002327,1200007
7012334,1200009
7022339,1200008
7132391,1200007
7142394,1200010
7152396,1200007
7162404,1200009
7172406,1200008
7202417,1200007
7212420,1200009
7222424,1200008
7242429,1200007
7252436,1200008
7262440,1200007
7272442,1200009
7282445,1200008
7292450,1200007
7312457,1200009
7322463,1200007
7342476,1200008
7352482,1200009
7362485,1200007
7372487,1200008
7382495,1200009
7392497,1200008
7402502,1200007
7412509,1200009
7432532,1200007
7442728,1200009
7452740,1200006
7462743,1200009
7472751,1200007
7482757,1200009
7492765,1200007
7502767,1200009
7512771,1200007
7522773,1200009
7532779,1200006
7542787,1200009
7552794,1200006
7562800,1200010
7572805,1200005
7582819,1200010
7592823,1200007
7602819,1200009
7612836,1200006
7622839,1200010
7632843,1200007
7642836,1200009
7652852,1200006
7662859,1200010
7672865,1200005
7682865,1200010
7692882,1200006
7702887,1200010
7712889,1200007
7722895,1200009
7732901,1200006
7742906,1200010
7752909,1200006
7762914,1200010
7772917,1200006
7782920,1200010
7792924,1200007
7802926,1200009
7812932,1200007
7822939,1200009
7832943,1200007
7842946,1200008
7852951,1200007
7862956,1200009
7872960,1200005
7882964,1200010
7892967,1200006
7902972,1200010
7912976,1200006
7922980,1200010
7932983,1200006
7942990,1200010
7952991,1200007
7962998,1200009
7973005,1200006
7983008,1200010
7993011,1200007
8003013,1200009
8013015,1200005
8023021,1200010
8033029,1200006
8043031,1200009
8053038,1200007
8063041,1200009
8073048,1200007
8083051,1200009
8093053,1200005
8103061,1200010
8113067,1200007
8123072,1200008
8143085,1200009
8153088,1200007
8163094,1200009
8173100,1200006
8183107,1200010
8193109,1200007
8203111,1200009
8213114,1200006
8223117,1200009
8233120,1200006
8243127,1200010
8253130,1200006
8263137,1200008
8283143,1200011
8293145,1200006
8303148,1200009
8313154,1200006
8323159,1200008
8343172,1200010
8353175,1200005
8363177,1200008
8373179,1200009
8393192,1200006
8403195,1200007
8413198,1200009
8433212,1200007
8443219,1200009
8453226,1200007
8463232,1200008
8523264,1200006
8533266,1200009
8553276,1200007
8563283,1200008
8583289,1200009
8593294,1200006
8603297,1200007
8613304,1200009
8623306,1200008
8633310,1200006
8643316,1200009
8653320,1200008
8693337,1200006
8703342,1200008
8723350,1200007
8733353,1200008
8753366,1200009
8773374,1200007
8803390,1200009
8813398,1200008
8823403,1200006
