Time(us),Frequency(kHz)
4120560,3081798
4130558,3087749
4140582,3081702
4150555,3085024
4160715,3084369
4170718,3085045
4180722,3084809
4190724,3080131
4200729,3076557
4210731,3077688
4220739,3085842
4230746,3084094
4240748,3085326
4250751,3084269
4260759,3085991
4270760,3073023
4280761,3078058
4290764,3078051
4300770,3073149
4310771,3075554
4320778,3067107
4330779,3056490
4340786,3078532
4350851,3079112
4360855,3087421
4370857,3082546
4380860,3068741
4390863,3066652
4400877,3084856
4410893,3071272
4420898,3080667
4430888,3055771
4440906,3080187
4450910,3067985
4460916,3069130
4470921,3068515
4480927,3065862
4490933,3058847
4500936,3081708
4510941,3075073
4520948,3078824
4530952,3056767
4540957,3048070
4550959,3059731
4560960,3075263
4570966,3065750
4580967,3074714
4590973,3072295
4600979,3084746
4610982,3082165
4620985,3072351
4630985,3062863
4640993,3069285
4650995,3015859
4660997,3042939
4670998,2925685
4681002,2959776
4691005,3034529
4701010,3081362
4711012,3066293
4721017,3082224
4731018,3081973
4741024,3084288
4751029,3075756
4761031,3085101
4771036,3068977
4781038,3084761
4791042,3075584
4801044,3084823
4811049,3078121
4821050,3081199
4831053,3081415
4841058,3087921
4851059,3061089
4861065,3075912
4871070,3072073
4881075,3078628
4891077,2987133
4901082,3011718
4911087,3072248
4921089,3078353
4931092,3072332
4941098,3081437
4951099,3072285
4961106,3076169
4971109,3066689
4981111,3069992
4991118,3072298
5001122,3069332
5011130,3073085
5021135,3084760
5031139,3057990
5041143,3081593
5051146,3072019
5061151,3088027
5071153,3081337
5081154,3075331
5091159,3072924
5101166,3088200
5111171,3081787
5121176,3088206
5131177,3065843
5141182,3081834
5151187,3072444
5161191,3081879
5171193,3072336
5181198,3087861
5191201,3081842
5201206,3088177
5211210,3081893
5221211,3084537
5231217,3069069
5241223,3080045
5251228,3065644
5261234,3075074
5271238,3036071
5281240,3071157
5291247,3064175
5301253,3073236
5311260,3065845
5321263,3081863
5331264,3078809
5341265,3087919
5351271,3065913
5361276,3075351
5371276,3069056
5381278,3073671
5391281,3071860
5401283,3081460
5411285,3071798
5421290,3079588
5431297,3061918
5441300,3059450
5451304,3075707
5461309,3084499
5471315,3068679
5481319,3084658
5491325,3062543
5501327,3081778
5511328,3081921
5521332,3088164
5531335,3072558
5541341,3081909
5551342,3075323
5561345,3081412
5571352,3072074
5581354,3082339
5591360,3078621
5601366,3087860
5611372,3081698
5621380,3082430
5631384,3081857
5641392,3075476
5651396,3072665
5661400,3075170
5671407,3075832
5681414,3087583
5691418,3072945
5701425,3078304
5711430,3061652
5721437,3078456
5731439,3041602
5741446,2957197
5751450,3067994
5761458,2929209
5771461,2970632
5781463,3071632
5791465,3064418
5801469,3081233
5811476,3072196
5821480,3081725
5831487,3072225
5841488,3080895
5851492,3082125
5861496,3088315
5871502,3081764
5881503,3087575
5891509,3068869
5901516,3082195
5911518,3066244
5921525,3075592
5931531,3072961
5941538,3081192
5951540,3072704
5961544,3081421
5971551,3072436
5981556,3087867
5991561,3082716
6001564,3078425
6011569,3072333
6021572,3081846
6031577,3082555
6041582,3080581
6051588,3060519
6061594,3081655
6071601,3073096
6081605,3081635
6091607,3072304
6101612,3081813
6111616,3074303
6121623,3071048
6131627,3071979
6141629,3081802
6151633,3066949
6161637,3079517
6171642,3071604
6181644,3081695
6191650,3081530
6201656,3088036
6211661,3081559
6221666,3088166
6231669,3072227
6241673,3081485
6251675,3064408
6261682,3076663
6271686,3072292
6281693,3085423
6291698,3072708
6301705,3081523
6311711,3075547
6321716,3088427
6331717,3081611
6341724,3040697
6351729,3081823
6361731,3084282
6371738,3082216
6381745,3088262
6391752,3082017
6401754,3087575
6411757,3081536
6421761,3080928
6431766,3060847
6441773,3074744
6451779,3069284
6461782,3084679
6471787,3065480
6481791,3081755
6491794,3066325
6501798,3064283
6511799,3063361
6521802,3081931
6531804,3071844
6541808,3081225
6551813,3072340
6561818,3075709
6571822,3068484
6581823,3071378
6591824,3066240
6601831,3078941
6611838,3066480
6621842,3075327
6631844,3079533
6641851,3081413
6651856,3071927
6661862,3075757
6671868,3066580
6681870,3087460
6691875,3082190
6701882,3088268
6711884,3081771
6721889,3084300
6731896,3079017
6741902,3074553
6751907,3042310
6761910,2943080
6771917,2965839
6781923,3030885
6791924,3052074
6801927,3071959
6811928,3058647
6821930,3062399
6831933,3056295
6841935,2903803
6851939,3039210
6861945,3074891
6871951,3078708
6881958,3081708
6891961,3066530
6901968,3081340
6911972,3072366
6921979,3088115
6931984,3081450
6941988,3088324
6951994,3081102
6962001,3087460
6972006,3081603
6982009,3075572
6992013,3072283
7002019,3087658
7012021,3081725
7022027,3087629
7032029,3082137
7042031,3088031
7052037,3081979
7062042,3087484
7072045,3071369
7082049,3087937
7092054,3081892
7102058,3087579
7112060,3082343
7122065,3087977
7132068,3081427
7142074,3087719
7152078,3075787
7162080,3075257
7172084,3072384
7182084,3081594
7192086,3078783
7202091,3087984
7212095,3082267
7222097,3088212
7232102,3081954
7242109,3071722
7252110,3069218
7262113,3081817
7272119,3060459
7282119,3081922
7292123,3066593
7302127,3069891
7312129,3063282
7322135,3081421
7332138,3082473
7342145,3069359
