Time(us),Frequency(kHz)
8563336,1200008
8613368,1200007
8623372,1200008
8633380,1200007
8643387,1200008
8663397,1200007
8673401,1200008
8683404,1200009
8693407,1200008
8703409,1200007
8713416,1200008
8723423,1200009
8733430,1200008
8743432,1200007
8763442,1200008
8823466,1200007
8833473,1200008
8863484,1200007
8873490,1200008
8893500,1200007
8903504,1200008
8963527,1200007
8973532,1200009
8983536,1200008
9013552,1200007
9023554,1200008
9043562,1200009
9053565,1200007
9063567,1200008
9123601,1200007
9133604,1200008
9143608,1200007
9153611,1200008
9213648,1200007
9223650,1200008
9233656,1200007
9243659,1200008
9283679,1200007
9293684,1200008
9303690,1200009
9313696,1200008
9363720,1200007
9373723,1200008
9403738,1200007
9413742,1200008
9443757,1200009
9453764,1200007
9463768,1200008
9733906,1200007
9743910,1200008
9753917,1200007
9763923,1200008
9833956,1200007
9843958,1200008
9863969,1200007
9873973,1200008
9893981,1200007
9903989,1200008
9913991,1200009
9923996,1200007
9934002,1200009
9944004,1200007
9954005,1200008
9974015,1200007
9984021,1200008
10004032,1200007
10014036,1200008
10034045,1200007
10044048,1200009
10054050,1200007
10064056,1200009
10074061,1200007
10084063,1200009
10094066,1200007
10104073,1200008
10114079,1200007
10124082,1200008
10174102,1200007
10184109,1200008
10194111,1200007
10204114,1200008
10214117,1200009
10224120,1200007
10234123,1200008
10264145,1200007
10274151,1200008
10284155,1200007
10294158,1200008
10304160,1200007
10314165,1200008
10344176,1200007
10354179,1200008
10384191,1200007
10394195,1200009
10404199,1200007
10414203,1200008
10424211,1200009
10434219,1200008
10514255,1200007
10524259,1200008
10544268,1200007
10554275,1200008
10584287,1200009
10594295,1200007
10604298,1200008
10634316,1200007
10644318,1200008
10654321,1200009
10664327,1200008
10684338,1200009
10694340,1200008
10704343,1200007
10714347,1200008
10754357,1200007
10764359,1200008
10844400,1200007
10864409,1200008
10934437,1200007
10944439,1200008
10964446,1200007
10974449,1200008
10984456,1200007
10994461,1200009
11004463,1200006
11014468,1200010
11024474,1200008
11054489,1200007
11064496,1200008
11124530,1200009
11134532,1200007
11144536,1200008
11204764,1200007
11214766,1200009
11224772,1200008
11254785,1200007
11264790,1200009
11274792,1200008
11324819,1200007
11334820,1200009
11344825,1200008
11404852,1200007
11414859,1200008
11424864,1200007
11434866,1200008
11464892,1200007
11474895,1200009
11484899,1200008
11504914,1200007
11514916,1200008
11524919,1200007
11534923,1200009
11544941,1200007
11554943,1200008
11564946,1200007
11574948,1200008
11584952,1200007
11594955,1200009
11604959,1200007
11614961,1200008
11624967,1200007
11634975,1200009
11644980,1200008
11765017,1200007
11775022,1200008
11805033,1200007
11815035,1200009
11825041,1200007
11835047,1200009
11845053,1200008
11885068,1200007
11895076,1200009
11905079,1200008
11975116,1200007
11985122,1200008
12045168,1200007
12055170,1200008
12085189,1200007
12095196,1200008
12105198,1200007
12115202,1200008
12175237,1200007
12185242,1200008
12215248,1200007
12225256,1200008
12255273,1200009
12265281,1200007
12275284,1200008
12305299,1200007
12315301,1200008
12355311,1200009
12365312,1200007
12375317,1200008
12405334,1200007
12415337,1200008
12425340,1200007
12435342,1200009
12445345,1200008
12495364,1200007
12505367,1200008
12535379,1200007
12545384,1200008
12555388,1200007
12565391,1200008
12655432,1200007
12665436,1200008
12685448,1200007
12695453,1200009
12705461,1200007
12715464,1200008
12735477,1200007
12745480,1200008
12765484,1200007
12775490,1200008
12805502,1200007
12815504,1200008
12845521,1200007
12855527,1200008
12885542,1200007
12905555,1200009
12915560,1200008
12925565,1200007
12935573,1200009
12945580,1200008
12975594,1200007
12985601,1200008
13015611,1200009
13025615,1200008
13055635,1200007
13065637,1200008
13095652,1200007
13105658,1200008
13125666,1200007
13135667,1200009
13145673,1200007
13155679,1200008
13185699,1200007
13195704,1200008
13205711,1200007
13215713,1200008
13225718,1200009
13235721,1200007
13245723,1200008
13255727,1200007
13265733,1200009
13275738,1200008
13285746,1200007
13295752,1200008
13355773,1200007
13365775,1200008
13385782,1200007
13395787,1200008
13435802,1200007
13445808,1200009
13455815,1200007
13465819,1200008
13475822,1200009
13485826,1200008
13525848,1200007
13535854,1200008
13575871,1200007
13585877,1200008
13625899,1200007
13635907,1200008
13645910,1200007
13655918,1200008
13665919,1200007
13675922,1200008
13695931,1200007
13705938,1200009
13715942,1200008
13725944,1200007
13735947,1200009
13745953,1200008
13765958,1200007
13775960,1200008
13835991,1200007
13856001,1200009
13866007,1200008
13876015,1200007
13886017,1200008
13896018,1200009
13906020,1200007
13916023,1200008
13936031,1200007
13946035,1200008
14076083,1200007
14086086,1200008
14096088,1200007
14106092,1200008
14136109,1200007
14146114,1200008
14186137,1200007
14196145,1200009
14206148,1200008
14226158,1200007
14236167,1200008
14246170,1200009
14256173,1200007
14266181,1200008
14276187,1200009
14286188,1200007
14296196,1200008
14316209,1200007
14326213,1200008
14346222,1200007
14366229,1200008
14416257,1200007
14426265,1200009
14436268,1200008
14486292,1200007
14496293,1200008
14516301,1200007
14526307,1200008
14566326,1200007
14576328,1200008
