Time(us),Frequency(kHz)
4120509,3072024
4130510,3082270
4140514,3072471
4150520,3078754
4160523,3059842
4170528,3069999
4180532,3072323
4190538,3081870
4200544,3072382
4210545,3077980
4220548,3059911
4230551,3081065
4240552,3072359
4250559,3088119
4260564,3081650
4270566,3085158
4280723,3085238
4290727,3084979
4300730,3084485
4310733,3064902
4320740,3077212
4330745,3076203
4340750,3083774
4350752,3067338
4360760,3077758
4370767,3080785
4380773,3072663
4390774,3075958
4400777,3084627
4410782,3060105
4420786,3071050
4430793,3051716
4440798,3075916
4450566,3075333
4460806,3081777
4470808,3083284
4480812,3086696
4490815,3073229
4500818,3074763
4510819,3072279
4520826,3079470
4530568,3073234
4540868,3080967
4550874,3067283
4560878,3081195
4570872,3067944
4580884,3068479
4590883,3048394
4600892,3074931
4610898,3056848
4620912,3070814
4630915,3069123
4640934,3081674
4650940,3072034
4660941,3081355
4670943,3072606
4680945,3067934
4690948,3072292
4700952,3081764
4710955,3075928
4720956,3023461
4730958,2949089
4740959,3063370
4750964,2911952
4760967,3072596
4770971,3071768
4780976,3085045
4790980,3072284
4800983,3075684
4810990,3063284
4820994,3075135
4830999,3075199
4841005,3088094
4851012,3070641
4861019,3084688
4871021,3072178
4881025,3072425
4891031,3048950
4901032,3075662
4911037,3068205
4921038,3077994
4931044,3061428
4941050,3081998
4951057,3063805
4961061,3081934
4971067,3049406
4981069,3075896
4991072,3072390
5001074,3087977
5011081,3065713
5021086,3066414
5031092,3062945
5041096,3078589
5051100,3078129
5061102,3088314
5071108,3075196
5081111,3081613
5091116,3067231
5101120,3084542
5111125,3082283
5121131,3088045
5131134,3082241
5141136,3087810
5151142,3082044
5161147,3087817
5171149,3081270
5181156,3085056
5191161,3066295
5201165,3075645
5211172,3072766
5221178,3081604
5231179,3061885
5241182,3072613
5251189,3066181
5261196,3075970
5271203,3072709
5281208,3087510
5291209,3081863
5301212,3087386
5311217,3081918
5321222,3087995
5331225,3075562
5341231,3081382
5351236,3072635
5361242,3076124
5371248,3072887
5381253,3082039
5391257,3074400
5401258,3088260
5411263,3081601
5421267,3081320
5431269,3053873
5441273,3079333
5451275,3060229
5461280,3081709
5471283,3069612
5481285,3081532
5491288,3078941
5501290,3088326
5511293,3081498
5521296,3087287
5531299,3082510
5541301,3078313
5551304,3072533
5561309,3081805
5571315,3068892
5581322,3078090
5591324,3056571
5601325,3081812
5611331,3067821
5621338,3069110
5631340,3066377
5641343,3078914
5651348,3072462
5661351,3088449
5671355,3081813
5681359,3087647
5691362,3082458
5701366,3075523
5711372,3066390
5721376,3087991
5731380,3073019
5741382,3075572
5751387,3065601
5761394,2936390
5771395,2934521
5781400,3011788
5791401,3072509
5801407,3085025
5811411,3082431
5821412,3088074
5831418,3081491
5841420,3080625
5851427,3072025
5861432,3087618
5871434,3081716
5881436,3064748
5891441,3081882
5901445,3087975
5911447,3081707
5921454,3087960
5931461,3082066
5941466,3060571
5951473,3066569
5961477,2944723
5971483,3042025
5981488,3078615
5991490,3081742
6001493,3087533
6011494,3069471
