Time(ms),Frequency(kHz)
4710,3075928
4720,3023461
4730,2949089
4740,3063370
4750,2911952
4760,3072596
4770,3071768
4780,3085045
4790,3072284
4800,3075684
4810,3063284
4820,3075135
4830,3075199
4841,3088094
4851,3070641
4861,3084688
4871,3072178
4881,3072425
4891,3048950
4901,3075662
4911,3068205
4921,3077994
4931,3061428
4941,3081998
4951,3063805
4961,3081934
4971,3049406
4981,3075896
4991,3072390
5001,3087977
5011,3065713
5021,3066414
5031,3062945
5041,3078589
5051,3078129
5061,3088314
5071,3075196
5081,3081613
5091,3067231
5101,3084542
5111,3082283
5121,3088045
5131,3082241
5141,3087810
5151,3082044
5161,3087817
5171,3081270
5181,3085056
5191,3066295
5201,3075645
5211,3072766
5221,3081604
5231,3061885
5241,3072613
5251,3066181
5261,3075970
5271,3072709
5281,3087510
5291,3081863
5301,3087386
5311,3081918
5321,3087995
5331,3075562
5341,3081382
5351,3072635
5361,3076124
5371,3072887
5381,3082039
5391,3074400
5401,3088260
5411,3081601
5421,3081320
5431,3053873
5441,3079333
5451,3060229
5461,3081709
5471,3069612
5481,3081532
5491,3078941
5501,3088326
5511,3081498
5521,3087287
5531,3082510
5541,3078313
5551,3072533
5561,3081805
5571,3068892
5581,3078090
5591,3056571
5601,3081812
5611,3067821
5621,3069110
5631,3066377
5641,3078914
5651,3072462
5661,3088449
5671,3081813
5681,3087647
5691,3082458
5701,3075523
5711,3066390
5721,3087991
5731,3073019
5741,3075572
5751,3065601
5761,2936390
5771,2934521
5781,3011788
5791,3072509
5801,3085025
5811,3082431
5821,3088074
5831,3081491
5841,3080625
5851,3072025
5861,3087618
5871,3081716
5881,3064748
5891,3081882
5901,3087975
5911,3081707
5921,3087960
5931,3082066
5941,3060571
5951,3066569
5961,2944723
5971,3042025
5981,3078615
5991,3081742
6001,3087533
6011,3069471
6021,3081539
6031,3069750
6041,3085012
6051,3068622
6061,3085367
6071,3060595
6081,3081847
6091,3072458
6101,3077389
6111,3072962
6121,3087991
6131,3082022
6141,3088049
6151,3081704
6161,3075569
6171,3075990
6181,3088264
6191,3068922
6201,3081610
6211,3078556
6221,3088283
6231,3081385
6241,3088337
6251,3075758
6261,3075593
6271,3072442
6281,3084563
6291,3081360
6301,3087491
6311,3081783
6321,3088491
6331,3081887
6341,3087526
6351,3082480
6361,3078658
6371,3066357
6381,3081691
6391,3075517
6401,3087757
6411,3053319
6421,3074768
6431,3066737
6441,3081606
6451,3062559
6461,3088249
6471,3078379
6481,3078973
6491,3072214
6501,3081740
6511,3082144
6521,3078059
6531,3072803
6541,3081043
6551,3078441
6561,3078294
6571,3057432
6581,3072601
6591,3066060
6601,3081481
6611,3071609
6621,3087671
6631,3081624
6641,3087372
6651,3063290
6661,3075442
6671,3072139
6681,3078734
6691,3066213
6701,3081851
6711,3064119
6721,3081590
6731,3078475
6741,3087921
6751,3081840
6761,3087839
6771,3081091
6781,3056753
6791,2916880
6801,2957092
6811,3003151
6821,2919466
6831,2890982
6841,3055620
6851,2885676
6861,3020559
6871,3068908
6881,3057093
6891,3060623
6901,3077859
6911,3075441
6921,3075903
6931,3072866
6941,3081299
6951,3079153
6961,3087841
6971,3068669
6981,3081789
6991,3078055
7001,3075605
7011,3072576
7021,3082026
7031,3075528
7041,3078638
7051,3069267
7061,3074715
7071,3060403
7081,3078779
7091,3068977
7101,3078782
7111,3072619
7121,3085097
7131,3081933
7141,3087718
7151,3082260
7161,3087595
7171,3081957
7181,3088014
7192,3065658
7202,3079070
7212,3065285
7222,3087874
7232,3081908
7242,3088151
7252,3081649
7262,3087722
7272,3072136
7282,3081939
7292,3078730
7302,3087522
7312,3081503
7322,3087854
7332,3081904
7342,3081839
7352,3082462
7362,3088116
7372,3082029
7382,3082215
7392,3072806
7402,3085235
7412,3081673
7422,3088393
7432,3081925
7442,3075733
7452,3066652
7462,3081714
7472,3072278
7482,3081609
7492,3071889
7502,3081440
7512,3075810
7522,3088271
7532,3082644
7542,3088106
7552,3082046
7562,3087880
