Time(ms),Frequency(kHz)
4711,3066248
4721,3084622
4731,3081997
4741,3072491
4751,3072182
4761,3076020
4771,3066402
4781,3081998
4791,3072741
4801,3084804
4811,3075686
4821,3081599
4831,3081182
4841,3081440
4851,3082281
4861,3087767
4871,3069172
4881,3081312
4891,3069136
4901,3087808
4911,3078163
4921,3087969
4931,3073919
4941,3081664
4951,3072072
4961,2978212
4971,2956777
4981,2965340
4991,3067518
5001,2941518
5011,2970844
5021,3084972
5031,3081898
5041,3087396
5051,3081726
5061,3087448
5071,3068674
5081,3075945
5091,3072270
5101,3054854
5111,3070164
5121,3081573
5131,3078523
5141,3081327
5151,3072312
5161,3081646
5171,3072635
5181,3081442
5191,3076068
5201,3087981
5211,3081728
5221,3088016
5231,3072946
5241,3081330
5251,3074841
5261,3081318
5271,3072180
5281,3081996
5291,3078732
5301,3081095
5311,3082346
5321,3088199
5331,3081239
5341,3079128
5351,3063970
5361,3081880
5371,3072624
5381,3081537
5391,3081980
5401,3088040
5411,3081639
5421,3088308
5431,3068213
5441,3088324
5451,3062768
5461,3081578
5471,3078993
5481,3087524
5491,3081784
5501,3088379
5511,3065307
5521,3081696
5531,3075607
5541,3088450
5551,3077672
5561,3087503
5571,3081562
5581,3087777
5591,3063151
5601,3081847
5611,3073994
5621,3071503
5631,3066472
5641,3078953
5651,3068958
5661,3075559
5671,3072842
5681,3084547
5691,3067063
5701,3081793
5711,3068510
5721,3087731
5731,3072595
5741,3080101
5751,3072128
5761,3081863
5771,3081853
5781,3088060
5791,3082336
5801,3088036
5811,3081199
5821,3078307
5831,3081609
5841,3078312
5851,3072914
5861,3082002
5871,3082187
5881,3087596
5891,3081869
5901,3087884
5911,3075195
5921,3069445
5931,3072612
5941,3062004
5951,3075337
5961,3081870
5971,3055327
5981,3069727
5991,3035881
6001,3061338
6011,2978006
6021,2972438
6031,3053976
6041,3078803
6051,3071974
6061,3087704
6071,3081395
6081,3088327
6091,3075468
6101,3059655
6111,3072731
