Time(ms),Frequency(kHz)
5561,1200008
5571,1200009
5581,1200008
5591,1200006
5601,1200009
5611,1200006
5621,1200008
5641,1200009
5651,1200008
5661,1200007
5681,1200009
5691,1200008
5701,1200007
5711,1200008
5721,1200007
5741,1200008
5751,1200009
5761,1200008
5771,1200006
5781,1200009
5791,1200007
5801,1200008
5821,1200009
5831,1200008
5881,1200007
5891,1200008
5901,1200009
5911,1200006
5921,1200009
5931,1200008
5951,1200006
5961,1200009
5971,1200007
5981,1200008
6011,1200009
6021,1200007
6041,1200008
6051,1200009
6061,1200008
6071,1200007
6091,1200008
6101,1200009
6111,1200008
6131,1200006
6141,1200008
6181,1200009
6191,1200007
6201,1200009
6211,1200008
6271,1200007
6281,1200009
6291,1200008
6301,1200006
6311,1200008
6321,1200009
6332,1200007
6342,1200008
6352,1200007
6362,1200008
6412,1200009
6422,1200008
6442,1200007
6462,1200009
6472,1200008
6482,1200007
6492,1200009
6502,1200008
6512,1200007
6532,1200008
6562,1200009
6572,1200008
6582,1200007
6592,1200008
6612,1200009
6622,1200008
6662,1200007
6672,1200009
6682,1200008
6692,1200006
6702,1200009
6712,1200008
6722,1200007
6742,1200008
6752,1200007
6762,1200008
6782,1200009
6792,1200008
6812,1200007
6822,1200009
6832,1200007
6842,1200009
6852,1200008
6862,1200006
6872,1200008
6912,1200009
6922,1200008
6932,1200007
6942,1200009
6952,1200008
6972,1200007
6982,1200008
6992,1200009
7002,1200007
7012,1200009
7022,1200008
7132,1200007
7142,1200010
7152,1200007
7162,1200009
7172,1200008
7202,1200007
7212,1200009
7222,1200008
7242,1200007
7252,1200008
7262,1200007
7272,1200009
7282,1200008
7292,1200007
7312,1200009
7322,1200007
7342,1200008
7352,1200009
7362,1200007
7372,1200008
7382,1200009
7392,1200008
7402,1200007
7412,1200009
7432,1200007
7442,1200009
7452,1200006
7462,1200009
7472,1200007
7482,1200009
7492,1200007
7502,1200009
7512,1200007
7522,1200009
7532,1200006
7542,1200009
7552,1200006
7562,1200010
7572,1200005
7582,1200010
7592,1200007
7602,1200009
7612,1200006
7622,1200010
7632,1200007
7642,1200009
7652,1200006
7662,1200010
7672,1200005
7682,1200010
7692,1200006
7702,1200010
7712,1200007
7722,1200009
7732,1200006
7742,1200010
7752,1200006
7762,1200010
7772,1200006
7782,1200010
7792,1200007
7802,1200009
7812,1200007
7822,1200009
7832,1200007
7842,1200008
7852,1200007
7862,1200009
7872,1200005
7882,1200010
7892,1200006
7902,1200010
7912,1200006
7922,1200010
7932,1200006
7942,1200010
7952,1200007
7962,1200009
7973,1200006
7983,1200010
7993,1200007
8003,1200009
8013,1200005
8023,1200010
8033,1200006
8043,1200009
8053,1200007
8063,1200009
8073,1200007
8083,1200009
8093,1200005
8103,1200010
8113,1200007
8123,1200008
8143,1200009
8153,1200007
8163,1200009
8173,1200006
8183,1200010
8193,1200007
8203,1200009
8213,1200006
8223,1200009
8233,1200006
8243,1200010
8253,1200006
8263,1200008
8283,1200011
8293,1200006
8303,1200009
8313,1200006
8323,1200008
8343,1200010
8353,1200005
8363,1200008
8373,1200009
8393,1200006
8403,1200007
8413,1200009
8433,1200007
8443,1200009
8453,1200007
8463,1200008
8523,1200006
8533,1200009
8553,1200007
8563,1200008
8583,1200009
8593,1200006
8603,1200007
8613,1200009
8623,1200008
8633,1200006
8643,1200009
8653,1200008
8693,1200006
8703,1200008
8723,1200007
8733,1200008
8753,1200009
8773,1200007
8803,1200009
8813,1200008
8823,1200006
8833,1200008
8843,1200009
8853,1200007
8863,1200008
8873,1200009
8883,1200007
8893,1200008
8903,1200009
8913,1200008
8953,1200007
8963,1200008
8983,1200009
8993,1200007
9003,1200009
9013,1200007
9023,1200009
9033,1200007
9043,1200008
9063,1200009
9073,1200007
9083,1200009
9093,1200008
9123,1200007
9143,1200009
9153,1200008
9163,1200007
9173,1200009
9183,1200007
9193,1200008
9213,1200009
9223,1200007
9233,1200008
9253,1200009
9263,1200008
9313,1200007
9323,1200009
9333,1200008
9343,1200007
9363,1200009
9373,1200008
9393,1200007
9403,1200008
9413,1200009
9423,1200008
9443,1200006
9453,1200009
9463,1200007
9473,1200008
9483,1200009
9493,1200007
9513,1200009
9523,1200008
9533,1200007
9543,1200008
9563,1200009
9573,1200008
9643,1200007
9653,1200008
9703,1200007
9713,1200009
9723,1200008
9733,1200007
9743,1200009
9753,1200008
9763,1200007
9783,1200009
9793,1200008
9833,1200007
9843,1200008
9853,1200009
9863,1200008
9873,1200007
9883,1200009
9893,1200007
9903,1200008
9913,1200009
9923,1200007
9943,1200009
9953,1200008
9963,1200007
9973,1200008
9983,1200007
9993,1200008
10003,1200007
10013,1200008
10033,1200009
10043,1200008
10053,1200007
10063,1200008
10073,1200009
10083,1200007
10093,1200009
10103,1200007
10113,1200009
10123,1200008
10174,1200007
10184,1200008
10194,1200006
10204,1200008
10214,1200009
10224,1200007
10234,1200009
10244,1200007
10264,1200008
10284,1200009
10294,1200006
10304,1200008
10314,1200009
10324,1200007
10334,1200009
10344,1200007
10354,1200008
10374,1200009
10384,1200008
10404,1200006
10414,1200008
10424,1200009
10434,1200007
10444,1200009
10454,1200007
10464,1200009
10474,1200008
10484,1200007
10494,1200008
10504,1200009
10514,1200008
10524,1200006
10534,1200009
10544,1200008
10554,1200007
10564,1200008
10574,1200009
10584,1200007
10594,1200008
10604,1200007
10614,1200008
10624,1200009
10634,1200008
10644,1200007
10654,1200009
10664,1200008
10674,1200006
10684,1200009
10694,1200008
10704,1200007
10714,1200009
10724,1200007
10734,1200008
10794,1200010
10804,1200007
10824,1200008
10844,1200009
10854,1200008
10864,1200007
10874,1200009
10884,1200008
10924,1200007
10934,1200008
10964,1200009
10974,1200008
10984,1200007
10994,1200009
11004,1200008
11024,1200007
11034,1200009
11044,1200007
11054,1200008
11064,1200009
11074,1200008
11094,1200007
11104,1200009
11114,1200008
11124,1200006
11134,1200009
11144,1200008
11164,1200007
11174,1200009
11184,1200008
11234,1200007
